NAL,NS,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO
67,67,2010-1,6,21,17,4,13
67,67,2010-2,6,21,17,4,15
67,67,2011-1,6,21,21,0,16
67,67,2011-2,6,22,22,0,16
67,67,2011-3,7,22,21,1,15
67,67,2012-1,7,21,18,3,14
67,67,2012-2,7,21,17,4,14
67,67,2013-1,7,22,22,0,15
67,67,2013-2,7,22,22,0,15
67,67,2013-3,6,22,18,4,15
67,67,2014-1,5,21,21,0,14
68,68,2010-1,6,21,6,15,6
69,69,2010-1,6,21,0,21,3
69,69,2010-2,7,22,3,19,2
69,69,2013-1,6,21,6,15,9
69,69,2013-2,4,14,6,8,10
69,69,2013-3,4,15,7,8,10
69,69,2014-1,6,20,16,4,13
69,69,2014-2,6,19,12,7,12
69,69,2015-1,5,19,4,15,9
69,69,2015-2,5,19,7,12,10
70,70,2010-1,6,21,6,15,7
70,70,2010-2,7,22,3,19,6
70,70,2010-C,3,11,4,7,7
70,70,2011-3,6,19,3,16,6
71,71,2010-1,7,22,17,5,14
71,71,2010-2,6,22,0,22,7
71,71,2010-C,3,11,11,0,15
71,71,2011-1,6,22,10,12,10
71,71,2011-2,6,18,8,10,9
71,71,2011-3,4,13,0,13,8
71,71,2012-1,5,14,9,5,13
71,71,2012-2,6,20,13,7,11
71,71,2013-1,5,17,17,0,14
71,71,2013-2,6,22,18,4,14
71,71,2013-3,8,22,15,7,13
71,71,2014-1,6,20,16,4,13
71,71,2014-2,6,21,17,4,14
71,71,2015-1,7,22,14,8,14
71,71,2015-2,6,22,10,12,14
72,72,2010-2,6,21,21,0,18
72,72,2010-C,3,11,11,0,18
72,72,2011-1,7,25,25,0,18
72,72,2011-2,8,26,26,0,17
72,72,2011-3,8,25,25,0,17
72,72,2012-1,7,23,23,0,17
72,72,2012-2,8,26,26,0,17
72,72,2013-1,7,22,22,0,17
72,72,2013-2,5,15,15,0,16
72,72,2013-3,5,22,22,0,18
73,73,2010-1,6,21,6,15,9
73,73,2010-2,6,21,17,4,14
73,73,2010-C,3,11,11,0,14
73,73,2011-1,6,20,12,8,13
73,73,2011-2,6,22,22,0,15
73,73,2011-3,6,22,14,8,11
73,73,2012-1,8,22,22,0,15
73,73,2012-2,6,22,15,7,14
73,73,2013-1,7,22,19,3,15
73,73,2013-2,7,22,22,0,14
73,73,2013-3,6,21,17,4,14
73,73,2014-1,6,21,21,0,15
73,73,2014-2,6,24,24,0,15
75,75,2010-2,7,22,18,4,11
75,75,2011-1,7,22,11,11,13
75,75,2011-2,6,19,7,12,10
75,75,2011-3,4,14,10,4,12
75,75,2012-1,6,20,9,11,12
75,75,2012-2,4,13,6,7,12
75,75,2013-1,4,15,4,11,11
75,75,2013-2,4,14,11,3,14
75,75,2013-3,5,19,4,15,9
75,75,2014-1,5,19,3,16,11
75,75,2014-2,4,16,8,8,13
75,75,2015-1,6,20,16,4,13
75,75,2015-2,5,19,11,8,10
76,76,2010-1,7,22,18,4,14
76,76,2010-2,7,22,18,4,13
76,76,2010-C,1,4,4,0,15
76,76,2011-1,5,15,15,0,15
76,76,2011-2,6,21,14,7,13
76,76,2011-3,6,22,15,7,12
76,76,2012-1,5,19,11,8,11
76,76,2012-2,4,15,12,3,14
76,76,2013-1,6,21,18,3,16
76,76,2013-2,6,22,15,7,15
76,76,2013-3,6,21,17,4,13
76,76,2014-1,6,22,11,11,12
76,76,2014-2,4,16,16,0,15
76,76,2015-1,5,18,18,0,15
76,76,2015-2,5,15,15,0,15
77,77,2010-1,7,22,14,8,12
77,77,2010-2,6,19,8,11,9
77,77,2010-C,3,11,7,4,12
77,77,2011-1,4,13,11,2,13
