NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
244,0,2,1,1,1,0,3,2,0,2,1,1,3,2
245,0,2,1,1,1,4,4,2,0,2,1,1,3,1
246,0,2,1,1,1,3,3,2,1,2,1,1,3,2
247,0,2,1,1,1,4,4,2,0,2,1,1,3,2
248,0,2,1,1,1,3,2,2,1,2,1,1,0,1
249,0,2,1,1,1,3,2,2,1,2,1,1,0,2
250,0,2,1,1,0,3,3,2,1,2,1,1,3,2
251,0,2,1,1,1,4,3,2,1,2,1,1,3,1
252,0,2,1,0,1,4,1,2,0,0,2,1,3,2
253,0,2,1,1,1,4,4,2,1,2,0,1,3,2
254,0,2,1,1,1,2,2,2,1,2,1,1,3,0
255,0,2,1,1,1,4,2,2,0,2,0,1,3,2
256,1,1,1,1,3,4,3,2,1,1,2,1,3,2
257,0,2,1,1,1,3,0,2,1,2,1,1,3,2
258,0,2,1,1,1,4,0,2,0,2,1,1,3,2
259,0,2,1,1,1,3,3,2,1,2,1,1,0,2
260,0,2,1,0,1,5,1,1,2,0,2,1,3,2
261,0,2,0,0,4,1,1,0,2,0,2,1,0,1
262,1,1,1,1,1,5,3,2,1,2,1,1,3,2
263,0,2,1,1,1,3,3,2,0,2,1,1,3,2
264,0,2,1,1,1,3,3,2,1,2,1,1,0,2
265,0,2,1,1,1,5,5,2,0,2,1,1,3,2
266,0,2,0,1,1,1,4,0,2,2,0,1,3,2
267,0,2,1,1,1,4,4,2,1,2,0,1,3,2
268,1,2,1,1,1,4,4,2,0,2,0,1,3,2
269,0,2,1,1,1,5,0,2,0,2,0,1,3,2
270,1,2,1,1,1,3,3,2,1,2,1,1,3,2
271,0,2,1,1,1,2,5,2,0,2,0,1,3,2
272,0,2,1,1,1,0,0,2,1,2,1,1,3,2
273,1,0,1,1,1,3,3,1,2,1,2,1,3,1
274,0,2,1,1,1,3,3,1,2,1,2,1,3,1
275,1,0,1,1,1,3,0,2,0,2,0,1,2,2
276,0,2,1,1,1,4,4,2,1,2,1,1,3,2
277,0,2,1,1,1,0,3,2,1,2,1,1,3,2
278,0,2,1,1,1,4,4,2,1,2,0,1,3,2
279,0,2,1,1,1,0,0,2,1,2,1,1,3,2
280,0,2,1,1,1,3,3,2,1,1,2,1,3,2
281,0,2,0,1,1,1,4,0,2,2,1,1,3,2
282,1,0,1,1,2,0,3,1,2,1,2,1,3,2
283,1,1,0,1,1,1,5,0,2,2,1,1,3,0
284,0,2,1,1,2,4,4,2,0,2,0,1,3,2
285,0,2,1,1,0,3,3,1,2,1,2,1,3,1
286,0,2,1,1,1,2,2,2,1,2,0,1,3,2
287,0,2,1,1,1,4,4,2,0,2,0,1,3,2
288,0,2,1,1,1,4,4,2,1,2,1,1,0,2
289,0,2,1,1,1,0,3,2,0,2,1,1,3,2
290,0,2,1,1,1,4,4,2,1,2,0,1,3,2
291,0,2,1,1,1,5,5,2,0,2,0,1,3,2
292,0,2,1,1,1,4,4,2,0,2,0,1,3,2
293,0,2,1,1,1,5,0,2,0,2,0,1,3,2
294,0,2,1,1,1,0,0,2,0,1,2,1,3,2
295,0,2,0,1,3,1,4,0,2,2,0,1,3,2
296,1,2,1,1,1,5,0,2,0,2,0,1,3,2
297,0,1,1,1,1,0,0,2,0,2,0,1,3,2
298,0,2,1,1,3,4,4,2,1,2,1,1,3,2
299,0,0,1,1,3,5,4,1,2,2,1,1,3,2
300,0,2,1,1,1,5,4,2,0,2,0,1,3,2
301,1,0,1,1,1,0,0,1,2,2,0,1,2,2
302,0,2,1,1,1,4,0,2,0,2,0,1,3,2
303,1,1,1,1,1,0,4,2,0,2,0,1,3,2
304,0,2,1,1,1,5,4,2,0,2,0,1,3,2
305,0,2,1,1,1,0,0,2,0,2,0,1,3,2
306,0,2,1,1,1,5,0,2,0,2,0,1,3,2
307,1,2,1,1,1,2,4,2,1,2,1,1,3,2
308,0,2,1,1,1,0,0,2,1,2,1,1,3,2
309,1,0,1,1,3,4,4,2,1,2,1,1,0,2
310,0,2,1,1,1,3,3,2,1,2,1,1,3,2
311,1,2,1,1,1,4,5,2,1,2,1,1,0,2
312,0,0,1,1,3,4,5,1,2,2,0,1,3,2
313,1,2,1,0,1,4,1,2,1,0,2,1,3,2
